Timing for CPU encrypt
num_blocks,trial,time_ms,throughput
1, 1, 0.040347,10806255.73
1, 2, 0.065574,6648976.73
1, 3, 0.064532,6756337.94
1, 4, 0.038022,11467045.39
1, 5, 0.064371,6773236.40
1, 6, 0.051127,8527783.75
1, 7, 0.024847,17547390.03
1, 8, 0.024827,17561525.76
1, 9, 0.038092,11445972.91
1, 10, 0.037471,11635664.91
1, avg, 0.044921, 10917018.96 
2, 1, 0.125156,6967304.80
2, 2, 0.062618,13925708.26
2, 3, 0.128643,6778448.89
2, 4, 0.049444,17636113.58
2, 5, 0.062759,13894421.52
2, 6, 0.049544,17600516.71
2, 7, 0.093005,9375840.01
2, 8, 0.049544,17600516.71
2, 9, 0.062638,13921261.85
2, 10, 0.049474,17625419.41
2, avg, 0.073283, 13532555.18 
4, 1, 0.125407,13906719.72
4, 2, 0.151827,11486757.95
4, 3, 0.131368,13275683.58
4, 4, 0.125557,13890105.69
4, 5, 0.112002,15571150.52
4, 6, 0.178367,9777593.39
4, 7, 0.138341,12606530.24
4, 8, 0.112192,15544780.38
4, 9, 0.164781,10583744.49
4, 10, 0.155974,11181350.74
4, avg, 0.139582, 12782441.67 
8, 1, 0.329953,10571202.57
8, 2, 0.250283,13936224.19
8, 3, 0.262806,13272147.52
8, 4, 0.318070,10966139.53
8, 5, 0.297432,11727050.22
8, 6, 0.297913,11708116.13
8, 7, 0.225415,15473681.88
8, 8, 0.259550,13438643.81
8, 9, 0.271713,12837074.41
8, 10, 0.246736,14136567.02
8, avg, 0.275987, 12806684.73 
16, 1, 0.625331,11155691.95
16, 2, 0.590125,11821224.32
16, 3, 0.479766,14540421.79
16, 4, 0.510274,13671086.51
16, 5, 0.634980,10986172.79
16, 6, 0.510474,13665730.28
16, 7, 0.518750,13447710.84
16, 8, 0.611705,11404189.93
16, 9, 0.557513,12512712.71
16, 10, 0.570768,12222128.78
16, avg, 0.560969, 12542706.99 
32, 1, 0.961155,14515868.93
32, 2, 1.260260,11070731.44
32, 3, 1.132218,12322715.24
32, 4, 1.159770,12029971.46
32, 5, 1.151164,12119906.46
32, 6, 1.186902,11754972.19
32, 7, 1.282973,10874741.71
32, 8, 1.186771,11756269.74
32, 9, 1.096801,12720630.27
32, 10, 1.070702,13030703.22
32, avg, 1.148872, 12219651.07

Timing for CPU decrypt
num_blocks,trial,time_ms,throughput
1, 1, 0.172907, 2521586.75
1, 2, 0.171674, 2539697.33
1, 3, 0.171123, 2547874.92
1, 4, 0.170792, 2552812.78
1, 5, 0.177766, 2452662.49
1, 6, 0.170702, 2554158.71
1, 7, 0.170712, 2554009.09
1, 8, 0.170762, 2553261.26
1, 9, 0.187424, 2326276.25
1, 10, 0.170762, 2553261.26
1, avg, 0.173462, 2515560.08
2, 1, 0.345683, 2522542.33
2, 2, 0.341295, 2554974.44
2, 3, 0.341605, 2552655.85
2, 4, 0.344842, 2528694.30
2, 5, 0.341245, 2555348.80
2, 6, 0.341485, 2553552.86
2, 7, 0.345523, 2523710.43
2, 8, 0.341395, 2554226.04
2, 9, 0.341575, 2552880.04
2, 10, 0.345352, 2524960.04
2, avg, 0.343000, 2542354.51
4, 1, 0.686416, 2540733.32
4, 2, 0.699010, 2494957.15
4, 3, 0.686396, 2540807.35
4, 4, 0.702717, 2481795.66
4, 5, 0.682640, 2554787.30
4, 6, 0.694481, 2511227.81
4, 7, 0.686777, 2539397.80
4, 8, 0.698981, 2495060.67
4, 9, 0.686086, 2541955.38
4, 10, 0.704230, 2476463.66
4, avg, 0.692773, 2517718.61
8, 1, 1.368564, 2548656.84
8, 2, 1.372662, 2541047.98
8, 3, 1.385145, 2518147.92
8, 4, 1.390987, 2507571.96
8, 5, 1.390115, 2509144.93
8, 6, 1.368094, 2549532.42
8, 7, 1.368094, 2549532.42
8, 8, 1.441943, 2418958.31
8, 9, 1.387601, 2513690.90
8, 10, 1.563913, 2230303.09
8, avg, 1.403712, 2488658.68
16, 1, 2.746296, 2540148.62
16, 2, 2.887132, 2416238.68
16, 3, 3.230891, 2159156.72
16, 4, 3.225742, 2162603.21
16, 5, 2.759702, 2527809.16
16, 6, 2.739443, 2546503.07
16, 7, 2.925094, 2384880.62
16, 8, 2.785330, 2504550.63
16, 9, 2.743751, 2542504.77
16, 10, 2.903403, 2402697.80
16, avg, 2.894678, 2418709.33
32, 1, 5.548217, 2514681.74
32, 2, 5.945118, 2346799.51
32, 3, 5.530214, 2522868.01
32, 4, 5.508382, 2532867.18
32, 5, 5.557386, 2510532.83
32, 6, 5.486471, 2542982.55
32, 7, 5.553137, 2512453.77
32, 8, 5.544120, 2516540.05
32, 9, 5.493124, 2539902.61
32, 10, 5.486401, 2543014.99
32, avg, 5.565257, 2508264.32
