num_blocks,trial,time_ms,throughput
1,1,0.163360,2668952.00
1,2,0.067328,6475760.50
1,3,0.067296,6478839.50
1,4,0.068384,6375760.50
1,5,0.066816,6525383.00
1,6,0.066848,6522259.50
1,7,0.067584,6451231.00
1,8,0.068960,6322505.50
1,9,0.067584,6451231.00
1,10,0.067392,6469610.50
1,11,0.066400,6566265.50
1,12,0.065536,6652832.00
1,13,0.073024,5970640.00
1,14,0.071168,6126349.00
1,15,0.067200,6488095.50
1,16,0.065664,6639863.00
1,17,0.071584,6090746.50
1,18,0.068256,6387717.00
1,19,0.070880,6151241.50
1,20,0.069088,6310792.50
1,21,0.065920,6614077.50
1,22,0.066400,6566265.50
1,23,0.065888,6617290.00
1,24,0.065632,6643101.00
1,25,0.067584,6451231.00
1,26,0.067136,6494280.50
1,27,0.067520,6457346.00
1,28,0.066048,6601260.50
1,29,0.067296,6478839.50
1,30,0.067296,6478839.50
1,avg,0.068615,6113826.50
2,1,0.067520,6457346.00
2,2,0.078720,5538617.50
2,3,0.067584,6451231.00
2,4,0.067328,6475760.50
2,5,0.070720,6165158.00
2,6,0.067584,6451231.00
2,7,0.067360,6472684.00
2,8,0.068320,6381733.00
2,9,0.075776,5753800.00
2,10,0.068064,6405736.50
2,11,0.069536,6270133.50
2,12,0.069664,6258613.00
2,13,0.067680,6442080.00
2,14,0.071680,6082589.50
2,15,0.067808,6429919.50
2,16,0.085760,5083955.50
2,17,0.071200,6123596.00
2,18,0.069632,6261489.00
2,19,0.067296,6478839.50
2,20,0.070784,6159584.00
2,21,0.065920,6614077.50
2,22,0.065888,6617290.00
2,23,0.081472,5351531.50
2,24,0.068672,6349021.50
2,25,0.066016,6604459.50
2,26,0.065888,6617290.00
2,27,0.067584,6451231.00
2,28,0.068608,6354944.00
2,29,0.067552,6454287.00
2,30,0.066112,6594869.50
2,avg,0.067540,6069455.50
4,1,0.069856,6241410.50
4,2,0.067936,6417805.00
4,3,0.066464,6559942.00
4,4,0.066912,6516020.50
4,5,0.067520,6457346.00
4,6,0.067520,6457346.00
4,7,0.067040,6503580.50
4,8,0.068384,6375760.50
4,9,0.067584,6451231.00
4,10,0.067360,6472684.00
4,11,0.067552,6454287.00
4,12,0.066496,6556785.00
4,13,0.066816,6525383.00
4,14,0.070848,6154020.00
4,15,0.069632,6261489.00
4,16,0.070240,6207289.50
4,17,0.067040,6503580.50
4,18,0.069600,6264368.00
4,19,0.066912,6516020.50
4,20,0.069504,6273020.50
4,21,0.069344,6287494.00
4,22,0.088000,4954545.50
4,23,0.067040,6503580.50
4,24,0.067584,6451231.00
4,25,0.065984,6607662.50
4,26,0.067264,6481922.00
4,27,0.068064,6405736.50
4,28,0.067488,6460408.00
4,29,0.066400,6566265.50
4,30,0.069600,6264368.00
4,avg,0.066387,6166212.50
8,1,0.067584,6451231.00
8,2,0.066304,6575772.50
8,3,0.068800,6337209.50
8,4,0.066944,6512906.00
8,5,0.069504,6273020.50
8,6,0.069472,6275909.50
8,7,0.067712,6439035.50
8,8,0.067488,6460408.00
8,9,0.067584,6451231.00
8,10,0.067488,6460408.00
8,11,0.066208,6585307.00
8,12,0.067200,6488095.50
8,13,0.067584,6451231.00
8,14,0.069632,6261489.00
8,15,0.067584,6451231.00
8,16,0.067584,6451231.00
8,17,0.065984,6607662.50
8,18,0.067168,6491186.50
8,19,0.066432,6563102.50
8,20,0.065760,6630170.00
8,21,0.073984,5893166.50
8,22,0.067424,6466540.00
8,23,0.067584,6451231.00
8,24,0.066976,6509794.00
8,25,0.067584,6451231.00
8,26,0.066304,6575772.50
8,27,0.067648,6445128.00
8,28,0.067744,6435994.00
8,29,0.068064,6405736.50
8,30,0.071040,6137387.50
8,avg,0.065625,6225479.00
16,1,0.176128,2475472.50
16,2,0.117344,3715571.50
16,3,0.107072,4072026.25
16,4,0.115008,3791040.75
16,5,0.110592,3942419.00
16,6,0.403456,1080663.00
16,7,0.079872,5458734.00
16,8,0.067840,6426886.50
16,9,0.067616,6448178.00
16,10,0.067904,6420829.00
16,11,0.067584,6451231.00
16,12,0.067968,6414783.50
16,13,0.069632,6261489.00
16,14,0.067840,6426886.50
16,15,0.068224,6390713.00
16,16,0.069632,6261489.00
16,17,0.067904,6420829.00
16,18,0.067872,6423856.50
16,19,0.072256,6034101.00
16,20,0.070240,6207289.50
16,21,0.069408,6281696.50
16,22,0.069376,6284594.00
16,23,0.068352,6378745.50
16,24,0.071392,6107126.50
16,25,0.067872,6423856.50
16,26,0.071936,6060943.50
16,27,0.069568,6267249.50
16,28,0.068608,6354944.00
16,29,0.069888,6238553.00
16,30,0.068128,6399718.00
16,avg,0.086984,5481352.50
32,1,0.071968,6058248.50
32,2,0.072288,6031430.00
32,3,0.072064,6050178.00
32,4,0.071744,6077163.00
32,5,0.071744,6077163.00
32,6,0.072128,6044809.00
32,7,0.072544,6010145.00
32,8,0.071680,6082589.50
32,9,0.075712,5758664.50
32,10,0.073728,5913628.00
32,11,0.072864,5983750.50
32,12,0.079648,5474086.00
32,13,0.073696,5916196.50
32,14,0.072160,6042128.50
32,15,0.071904,6063640.00
32,16,0.072416,6020769.00
32,17,0.072064,6050178.00
32,18,0.071680,6082589.50
32,19,0.074272,5870314.50
32,20,0.072736,5994280.50
32,21,0.073120,5962801.00
32,22,0.072608,6004847.50
32,23,0.071872,6066340.00
32,24,0.071680,6082589.50
32,25,0.073696,5916196.50
32,26,0.075104,5805283.50
32,27,0.072320,6028761.00
32,28,0.073728,5913628.00
32,29,0.073408,5939407.00
32,30,0.071680,6082589.50
32,avg,0.070589,5787238.50
