num_blocks,trial,time_ms,throughput
1,1,1.188192,366944.06
1,2,0.811008,537602.62
1,3,0.808960,538963.62
1,4,0.808960,538963.62
1,5,0.757760,575380.12
1,6,0.747520,583262.00
1,7,0.770176,566104.38
1,8,0.737984,590798.69
1,9,0.742656,587082.06
1,10,0.737280,591362.88
1,avg,0.811050,547646.38
2,1,0.741824,1175481.00
2,2,0.755232,1154612.12
2,3,0.741376,1176191.38
2,4,0.741696,1175683.88
2,5,0.739936,1178480.25
2,6,0.738208,1181238.88
2,7,0.752544,1158736.25
2,8,0.736960,1183239.25
2,9,0.743296,1173153.00
2,10,0.747936,1165875.12
2,avg,0.743901,1172269.12
4,1,0.774144,2252810.75
4,2,0.749568,2326673.50
4,3,0.734016,2375970.00
4,4,0.830144,2100840.50
4,5,0.758272,2299966.25
4,6,0.780704,2233881.25
4,7,0.742848,2347721.25
4,8,0.751584,2320432.50
4,9,0.743424,2345902.25
4,10,0.741536,2351875.00
4,avg,0.760624,2295607.25
8,1,0.739616,4715961.00
8,2,0.735040,4745320.00
8,3,0.752096,4637706.00
8,4,0.735200,4744287.00
8,5,0.744256,4686559.50
8,6,0.747104,4668694.00
8,7,0.737280,4730903.00
8,8,0.749568,4653347.00
8,9,0.735232,4744080.50
8,10,0.738240,4724750.50
8,avg,0.741363,4705161.00
16,1,0.737792,9455239.00
16,2,0.733856,9505952.00
16,3,0.755712,9231030.00
16,4,0.768480,9077660.00
16,5,0.738112,9451141.00
16,6,0.739232,9436821.00
16,7,0.740032,9426619.00
16,8,0.743488,9382801.00
16,9,0.737376,9460574.00
16,10,0.741920,9402631.00
16,avg,0.743600,9383047.00
32,1,0.749568,18613388.00
32,2,0.736032,18955696.00
32,3,0.755712,18462060.00
32,4,0.739328,18871190.00
32,5,0.735936,18958170.00
32,6,0.747040,18676376.00
32,7,0.745088,18725306.00
32,8,0.749568,18613388.00
32,9,0.741376,18819062.00
32,10,0.736704,18938408.00
32,avg,0.743635,18763302.00
