num_blocks,trial,time_ms,throughput
1,1,1.440960,302576.03
1,2,1.118208,389909.56
1,3,0.935968,465827.91
1,4,0.917504,475202.28
1,5,0.917152,475384.69
1,6,0.991200,439870.88
1,7,0.954368,456846.84
1,8,0.980320,444752.78
1,9,0.929632,469002.78
1,10,0.946656,460568.56
1,avg,1.013197,437994.25
2,1,0.925152,942547.81
2,2,0.920448,947364.75
2,3,0.920352,947463.56
2,4,0.926112,941570.81
2,5,0.929600,938037.88
2,6,0.968704,900171.75
2,7,0.923104,944638.94
2,8,0.923360,944377.06
2,9,0.919552,948287.81
2,10,0.923104,944638.94
2,avg,0.927949,939909.88
4,1,0.884928,1970781.88
4,2,0.935328,1864586.50
4,3,0.946144,1843271.25
4,4,0.904736,1927634.12
4,5,0.919616,1896443.75
4,6,0.948352,1838979.62
4,7,0.915456,1905061.50
4,8,0.937984,1859306.88
4,9,0.905216,1926612.00
4,10,0.935936,1863375.25
4,avg,0.923370,1889605.62
8,1,0.933888,3734923.25
8,2,0.952320,3662634.50
8,3,0.924512,3772801.00
8,4,0.936704,3723695.00
8,5,1.080000,3229629.50
8,6,1.059648,3291659.00
8,7,0.985088,3540800.50
8,8,0.913568,3817997.00
8,9,0.932544,3740306.00
8,10,0.919936,3791568.25
8,avg,0.963821,3630601.50
16,1,0.919552,7586302.50
16,2,0.942080,7404891.00
16,3,0.911360,7654494.00
16,4,0.910752,7659604.50
16,5,0.908992,7674435.00
16,6,0.921312,7571811.00
16,7,0.925824,7534909.50
16,8,0.921056,7573915.50
16,9,0.907264,7689052.00
16,10,0.926336,7530745.00
16,avg,0.919453,7588016.00
32,1,1.073120,13001341.00
32,2,0.999072,13964960.00
32,3,0.934912,14923330.00
32,4,0.953344,14634801.00
32,5,0.917504,15206473.00
32,6,0.907456,15374850.00
32,7,0.960512,14525587.00
32,8,0.935936,14907002.00
32,9,0.920512,15156782.00
32,10,0.917184,15211779.00
32,avg,0.951955,14690690.00
