num_blocks,trial,time_ms,throughput
1,1,21.275936,20492.63
1,2,0.249600,1746795.00
1,3,0.229376,1900809.12
1,4,0.245952,1772703.75
1,5,0.247968,1758291.25
1,6,0.349792,1246455.00
1,7,0.393216,1108805.38
1,8,0.443744,982548.50
1,9,0.333440,1307581.62
1,10,0.332640,1310726.38
1,avg,2.410167,1315520.75
2,1,0.348160,2504595.75
2,2,0.411648,2118314.50
2,3,0.316224,2757539.00
2,4,0.272736,3197231.00
2,5,0.262144,3326416.00
2,6,0.258592,3372107.25
2,7,0.239968,3633817.75
2,8,0.237440,3672506.75
2,9,0.222816,3913543.00
2,10,0.227456,3833708.25
2,avg,0.279718,3232978.00
4,1,0.221184,7884838.00
4,2,0.219872,7931887.50
4,3,0.228608,7628779.50
4,4,0.241664,7216631.00
4,5,0.289568,6022765.00
4,6,0.253952,6867439.50
4,7,0.303680,5742887.50
4,8,0.266240,6550480.50
4,9,0.264192,6601260.50
4,10,0.302240,5770248.50
4,avg,0.259120,6821721.50
8,1,0.239616,14556623.00
8,2,0.211488,16492662.00
8,3,0.210368,16580468.00
8,4,0.208896,16697304.00
8,5,0.223808,15584787.00
8,6,0.212992,16376202.00
8,7,0.221184,15769676.00
8,8,0.237952,14658418.00
8,9,0.219968,15856852.00
8,10,0.215168,16210589.00
8,avg,0.220144,15878357.00
16,1,0.237920,29320780.00
16,2,0.223232,31250000.00
16,3,0.217088,32134434.00
16,4,0.240160,29047300.00
16,5,0.352256,19803780.00
16,6,0.287840,24235686.00
16,7,0.276928,25190662.00
16,8,0.241856,28843610.00
16,9,0.301824,23112806.00
16,10,0.268704,25961654.00
16,avg,0.264781,26890070.00
32,1,0.276000,50550724.00
32,2,0.282720,49349180.00
32,3,0.245952,56726520.00
32,4,0.214208,65132952.00
32,5,0.235424,59263288.00
32,6,0.218944,63724056.00
32,7,0.245952,56726520.00
32,8,0.225344,61914228.00
32,9,0.234976,59376280.00
32,10,0.216640,64401776.00
32,avg,0.239616,58716556.00
