num_blocks,trial,time_ms,throughput
1,1,0.284704,1531415.12
1,2,0.184352,2365040.75
1,3,0.180480,2415780.25
1,4,0.174080,2504595.75
1,5,0.179488,2429131.75
1,6,0.171936,2535827.25
1,7,0.190464,2289146.50
1,8,0.181056,2408094.75
1,9,0.171904,2536299.25
1,10,0.174592,2497250.75
1,avg,0.189306,2351258.25
2,1,0.174080,5009191.50
2,2,0.175936,4956347.50
2,3,0.189888,4592180.50
2,4,0.179936,4846167.50
2,5,0.194560,4481907.50
2,6,0.176768,4933019.50
2,7,0.186720,4670094.00
2,8,0.168192,5184551.00
2,9,0.168224,5183564.50
2,10,0.178176,4894037.00
2,avg,0.179248,4875106.00
4,1,0.176032,9907290.00
4,2,0.174528,9992666.00
4,3,0.176128,9901890.00
4,4,0.178400,9775785.00
4,5,0.176448,9883932.00
4,6,0.171296,10181206.00
4,7,0.167936,10384909.00
4,8,0.165440,10541586.00
4,9,0.157440,11077235.00
4,10,0.161824,10777140.00
4,avg,0.170547,10242363.00
8,1,0.160032,21795640.00
8,2,0.163136,21380932.00
8,3,0.160480,21734796.00
8,4,0.161792,21558546.00
8,5,0.160320,21756488.00
8,6,0.163840,21289062.00
8,7,0.159648,21848066.00
8,8,0.163584,21322380.00
8,9,0.161184,21639866.00
8,10,0.163456,21339078.00
8,avg,0.161747,21566486.00
16,1,0.159968,43608720.00
16,2,0.161792,43117092.00
16,3,0.161792,43117092.00
16,4,0.163776,42594764.00
16,5,0.161280,43253964.00
16,6,0.162016,43057476.00
16,7,0.160256,43530352.00
16,8,0.163840,42578124.00
16,9,0.161440,43211100.00
16,10,0.178144,39159332.00
16,avg,0.163430,42722800.00
32,1,0.175776,79373744.00
32,2,0.176480,79057120.00
32,3,0.182368,76504656.00
32,4,0.176192,79186344.00
32,5,0.171008,81586824.00
32,6,0.176640,78985504.00
32,7,0.184416,75655040.00
32,8,0.182240,76558384.00
32,9,0.167936,83079272.00
32,10,0.176512,79042784.00
32,avg,0.176957,78902960.00
