num_b, time_ms, throughput
CPU encrypt avg
1  0.044921  10917018.96
2  0.073283  13532555.18
4  0.139582  12782441.67
8  0.275987  12806684.73
16 0.560969  12542706.99
32 1.148872  12219651.07

CPU decrypt avg
1  0.173462  2515560.08
2  0.343000  2542354.51
4  0.692773  2517718.61
8  1.403712  2488658.68
16 2.894678  2418709.33
32 5.565257  2508264.32

GPU encrypt avg
1  0.192954  2314525.8
2  0.182693  4791434.8
4  0.177197  9871298.0
8  0.172177  20305654.4
16 0.168165  41614452.0
32 0.171911  81403555.2

GPU decrypt avg
1  0.799638  553932.7
2  0.748664  1165266.35
4  0.758231  2303712.95
8  0.749318  4657335.6
16 0.754025  9264162.4
32 0.754278  18515560.0
